;;;;;;;;;Inclusion criteria;;;;Exclusion criteria;;;;;;;Research questions;;;;Snowballing iteration;;;;;
ID;Author;Title;Hidden_title;Booktitle / Journal;Year;doi / link;start set?;Hidden_IC;IC1;IC2;IC3;Hidden_EC;EC1;EC2;EC3;EC4;EC5;Duplicate?;Selected?;RQ1.1;RQ1.2;RQ1.3;Comments;Backward;Forward;;;;
1;Y. Brun, G. D. M. Serugendo, C. Gacek, H. Giese, H. Kienle, M. Litoiu, H. Müller, M. Pezzè, and M. Shaw ;Engineering self-adaptive systems through feedback loops;engineering self-adaptive systems through feedback loops;SEAMS;2009;https://doi.org/10.1007/978-3-642-02161-9_3;yes;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Exploration of SOTA. Useful for intro.;;;;;;
2;F. D. Macías-Escrivá, R. Haber, R. Del Toro, and V. Hernandez ;Self-adaptive systems: A survey of current approaches, research challenges and applications;self-adaptive systems: a survey of current approaches, research challenges and applications;ESWA;2013;https://doi.org/10.1016/j.eswa.2013.07.033;yes;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Survey;;;;;;
3;J. O. Kephart and D. M. Chess ;The vision of autonomic computing ;the vision of autonomic computing;Computer;2003;https://doi.ieeecomputersociety.org/10.1109/MC.2003.1160055;yes;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Vision paper;;;;;;
4;D. M. Barbosa, R. G. D. M. Lima, P. H. M. Maia, and E. Costa;Lotus@runtime: a tool for runtime monitoring and verification of self-adaptive systems;lotus@runtime: a tool for runtime monitoring and verification of self-adaptive systems;SEAMS;2017;https://doi.org/10.1109/SEAMS.2017.18;yes;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;yes;(yes);no;;YES;YES;;;;
5;Y. Tahara, A. Ohsuga, and S. Honiden ;Formal verification of dynamic evolution processes of uml models using aspects;formal verification of dynamic evolution processes of uml models using aspects;SEAMS;2017;https://doi.org/10.1109/SEAMS.2017.4;yes;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);(yes);no;;YES;YES;;;;
6;N. Bencomo, K. Welsh, P. Sawyer, and J. Whittle ;Self-explanation in adaptive systems ;self-explanation in adaptive systems;ICECCS;2012;https://doi.ieeecomputersociety.org/10.1109/ICECCS.2012.34;yes;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;yes;no;;YES;NO;;;;
7;R. Heinrich, E. Schmieders, R. Jung, K. Rostami, A. Metzger, W. Has- selbring, R. Reussner, and K. Pohl;Integrating run-time observations and design component models for cloud system analysis;integrating run-time observations and design component models for cloud system analysis;Workshop Models@Run.time;2014;http://ceur-ws.org/Vol-1270/mrt14_submission_8.pdf;yes;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Position paper;;;;;;
8;W. Hasselbring, R. Heinrich, R. Jung, A. Metzger, K. Pohl, R. Reussner, and E. Schmieders ;iobserve: Integrated observation and modeling techniques to support adaptation and evolution of software systems ;iobserve: integrated observation and modeling techniques to support adaptation and evolution of software systems;Research report;2013;http://oceanrep.geomar.de/22077/;yes;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;Reseach report;;;;;;
9;J. Ehlers, A. van Hoorn, J. Waller, and W. Hasselbring ;Self-adaptive software system monitoring for performance anomaly localization ;self-adaptive software system monitoring for performance anomaly localization;ICAC;2011;https://doi.org/10.1145/1998582.1998628;yes;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Short paper;;;;;;
10;D. F. Mendonça, R.Ali, and G.N.Rodrigues ;Modelling and analysing contextual failures for dependability requirements ;modelling and analysing contextual failures for dependability requirements;SEAMS;2014;https://doi.org/10.1145/2593929.2593947;yes;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;yes;yes;yes;;NO;NO;;;;
